root_serial,result,configs.Project_Code,epoxy.insight.test_attributes.test_result,epoxy.insight.test_attributes.uut_start,epoxy.insight.test_attributes.uut_stop
F9F237601411Y82A6,failed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237604DW1Y82AF,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601VL1Y82AE,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23271EWFAC125K,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237604F71Y82AY,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237602CG1Y82A0,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23326ML1AB125A,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601VB1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23274RUZAB125N,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237602C91Y82A7,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601L91Y82AJ,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376034S1Y82AD,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23270QVGAA125G,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23274ZWNAC125J,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23326ML0AB125B,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237603841Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237604FG1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601D01Y82AE,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CA41Y82A9,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237602DB1Y82A2,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376006L1Y82AG,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376007V1Y82A4,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237600NN1Y82A0,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23274RU9AB125C,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750DBY1Y82AB,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CZU1Y82AJ,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CVM1Y82A3,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23274RQLAB125D,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CUE1Y82AD,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601CL1Y82AX,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750EHX1Y82AT,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23334EC2AD1259,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23274RQ8AB125R,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601PH1Y82A1,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23326MKEAB1250,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CU71Y82AL,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CVD1Y82AB,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237604CM1Y82AT,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237604BV1Y82AN,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376014M1Y82AL,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A7V1Y82AV,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750EE11Y82AY,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750B0A1Y82A0,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A1W1Y82AC,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB232233GBAB1258,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BWZ1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BTL1Y82AB,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237600PZ1Y82AL,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750B321Y82AZ,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750AZX1Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750AZ31Y82AB,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23334K9SAD125P,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2375093T1Y82AA,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750E1M1Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750E6P1Y82A0,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750E9D1Y82A1,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601A61Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23270R47AA125X,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A6C1Y82AF,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A041Y82A7,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376058D1Y82AC,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BKS1Y82AV,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BED1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601971Y82AK,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237601171Y82A9,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A661Y82AM,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A2H1Y82AN,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237509ZS1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2375093L1Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A361Y82AW,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23263TKSAC125P,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BMS1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BGP1Y82A7,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237507F11Y82A2,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB232750D0AC125K,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750A5G1Y82AE,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237602VK1Y82AE,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376032U1Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CB01Y82AA,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BM81Y82A7,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BNG1Y82AW,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23330VERAC125C,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BPJ1Y82AR,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23211DRQAC125Y,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BKY1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BLK1Y82AZ,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F2376010R1Y82AU,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23270R4AAA125U,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750C8W1Y82AP,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BDS1Y82AD,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BP91Y82A0,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CU31Y82AQ,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750CEJ1Y82AH,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BN71Y82A5,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F23750BNY1Y82AE,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23270Q6AAA125P,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23326WJ9AC125Y,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
EWB23270Q6PAA125A,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55
F9F237509YQ1Y82AU,passed,N199,pass,2022/9/6 18:45,2022/9/6 18:55